@relation 'Station 46001_X150.214.94.234.71.3.28.48_2.arff'

@attribute pres numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WDIR numeric

@data
97930,0.429268,0.378947,0.245826,0.494788,0.455826,?,0.357607,0.527638,0.055556,?,?,?,0.281337
97940,0.536585,0.459649,0.304267,0.532802,0.472471,?,0.353706,0.512563,0.055556,?,?,?,0.504178
98200,0.4,0.34386,0.319109,0.532802,0.537772,?,0.374512,0.527638,0.055556,?,?,?,0.442897
98360,0.531707,0.463158,0.479592,0.812998,0.761844,?,0.378414,0.542714,0.055556,?,?,?,0.520891
98740,0.556098,0.491228,0.602968,0.812998,0.823303,?,0.408322,0.507538,0.055556,?,?,?,0.582173
99330,0.609756,0.554386,0.6141,0.740037,0.78105,?,0.475943,0.537688,0.055556,?,?,?,0.640669
99780,0.453659,0.431579,0.485158,0.677498,0.674776,?,0.556567,0.517588,0.055556,?,?,?,0.610028
99180,0.756098,0.659649,0.459184,0.622931,0.559539,?,0.482445,0.462312,0.055556,?,?,?,0.428969
98780,0.541463,0.45614,0.43692,0.445126,0.578745,?,0.43303,0.557789,0.055556,?,?,?,0.520891
98180,0.302439,0.291228,0.393321,0.445126,0.62484,?,0.386216,0.532663,0.055556,?,?,?,0.509749
98240,0.214634,0.224561,0.536178,0.677498,0.846351,?,0.379714,0.432161,0.046296,?,?,?,0.718663
99150,0.6,0.522807,0.396104,0.575107,0.612036,?,0.460338,0.517588,0.055556,?,?,?,0.75766
99920,0.531707,0.466667,0.454545,0.532802,0.591549,?,0.564369,0.507538,0.046296,?,?,?,0.768802
100390,0.390244,0.37193,0.336735,0.494788,0.537772,?,0.646294,0.502513,0.046296,?,?,?,0.657382
100230,0.380488,0.336842,0.281076,0.532802,0.587708,?,0.652796,0.487437,0.046296,?,?,?,0.473538
99770,0.55122,0.480702,0.279221,0.494788,0.414853,?,0.628088,0.502513,0.046296,?,?,?,0.367688
98820,0.795122,0.747368,0.368275,0.303495,0.40717,?,0.511053,0.472362,0.046296,?,?,?,0.342618
98350,0.741463,0.638596,0.504638,0.494788,0.560819,?,0.421326,0.447236,0.046296,?,?,?,0.370474
99050,0.326829,0.322807,0.622449,1,0.985915,?,0.46814,0.547739,0.046296,?,?,?,0.685237
99580,0.380488,0.34386,0.512059,0.898222,0.81178,?,0.540962,0.542714,0.055556,?,?,?,0.62117
99630,0.317073,0.284211,0.397959,0.677498,0.722151,?,0.573472,0.507538,0.046296,?,?,?,0.504178
98770,0.658537,0.6,0.346011,0.740037,0.537772,?,0.495449,0.537688,0.055556,?,?,?,0.325905
98840,0.62439,0.554386,0.387755,0.389332,0.464789,?,0.455137,0.547739,0.046296,?,?,?,0.523677
99340,0.507317,0.463158,0.454545,0.532802,0.62356,?,0.495449,0.527638,0.055556,?,?,?,0.462396
99570,0.478049,0.442105,0.345083,0.494788,0.494238,?,0.521456,0.512563,0.046296,?,?,?,0.584958
99950,0.4,0.4,0.320965,0.575107,0.536492,?,0.591678,0.507538,0.055556,?,?,?,0.626741
100250,0.35122,0.326316,0.293135,0.532802,0.567222,?,0.624187,0.487437,0.046296,?,?,?,0.584958
100400,0.365854,0.322807,0.345083,0.622931,0.609475,?,0.639792,0.477387,0.046296,?,?,?,0.668524
100420,0.346341,0.322807,0.313544,0.622931,0.604353,?,0.652796,0.482412,0.046296,?,?,?,0.67688
99860,0.429268,0.382456,0.294991,0.494788,0.527529,?,0.607282,0.507538,0.046296,?,?,?,0.481894
98680,0.712195,0.652632,0.305195,0.303495,0.371319,?,0.423927,0.407035,0.046296,?,?,?,0.412256
98960,0.614634,0.554386,0.416512,0.445126,0.496799,?,0.453836,0.532663,0.046296,?,?,?,0.704735
99220,0.478049,0.452632,0.372913,0.494788,0.481434,?,0.475943,0.522613,0.046296,?,?,?,0.732591
98880,0.273171,0.25614,0.326531,0.494788,0.539052,?,0.464239,0.502513,0.046296,?,?,?,0.685237
98740,0.24878,0.221053,0.265306,0.445126,0.533931,?,0.474642,0.492462,0.046296,?,?,?,0.582173
98650,0.365854,0.319298,0.207792,0.389332,0.483995,?,0.460338,0.462312,0.046296,?,?,?,0.345404
97910,0.590244,0.526316,0.181818,0.445126,0.253521,?,0.373212,0.487437,0.046296,?,?,?,0.29805
96870,0.673171,0.635088,0.324675,0.269773,0.398207,?,0.202861,0.517588,0.046296,?,?,?,0.426184
96590,0.62439,0.57193,0.33859,0.445126,0.418694,?,0.094928,0.517588,0.046296,?,?,?,0.562674
97260,0.731707,0.663158,0.551948,0.575107,0.670935,?,0.152146,0.537688,0.046296,?,?,?,0.699164
98330,0.839024,0.768421,0.733766,0.740037,0.837388,?,0.305592,0.532663,0.046296,?,?,?,0.749304
98490,0.497561,0.431579,0.59833,0.677498,0.727273,?,0.382315,0.512563,0.046296,?,?,?,0.713092
98340,0.321951,0.326316,0.465677,0.622931,0.727273,?,0.409623,0.482412,0.046296,?,?,?,0.718663
98760,0.4,0.350877,0.28757,0.575107,0.537772,?,0.459038,0.512563,0.046296,?,?,?,0.810585
99890,0.497561,0.424561,0.260668,0.622931,0.421255,?,0.561769,0.512563,0.046296,?,?,?,0.777159
100410,0.502439,0.435088,0.254174,0.494788,0.399488,?,0.641092,0.482412,0.046296,?,?,?,0.707521
100900,0.580488,0.529825,0.395176,0.740037,0.586428,?,0.694408,0.497487,0.046296,?,?,?,0.704735
101220,0.414634,0.357895,0.328386,0.575107,0.46991,?,0.751625,0.487437,0.046296,?,?,?,0.696379
101420,0.360976,0.326316,0.339518,0.575107,0.546735,?,0.789337,0.487437,0.046296,?,?,?,0.693593
101420,0.37561,0.336842,0.250464,0.622931,0.459667,?,0.803641,0.467337,0.046296,?,?,?,0.75766
101490,0.37561,0.329825,0.219852,0.532802,0.455826,?,0.804941,0.417085,0.046296,?,?,?,0.779944
101380,0.24878,0.235088,0.176252,0.532802,0.381562,?,0.802341,0.376884,0.046296,?,?,?,0.910864
101530,0.478049,0.417544,0.206865,0.575107,0.361076,?,0.812744,0.326633,0.046296,?,?,?,0.871866
101710,0.463415,0.403509,0.24026,0.269773,0.340589,?,0.83355,0.351759,0.046296,?,?,?,0.835655
101850,0.42439,0.378947,0.278293,0.342735,0.385403,?,0.842653,0.371859,0.046296,?,?,?,0.86351
101940,0.526829,0.445614,0.25974,0.303495,0.353393,?,0.850455,0.437186,0.046296,?,?,?,0.802228
101730,0.365854,0.326316,0.209647,0.303495,0.335467,?,0.838752,0.462312,0.046296,?,?,?,0.752089
101510,0.287805,0.252632,0.137291,0.240956,0.267606,?,0.814044,0.472362,0.046296,?,?,?,0.637883
101470,0.214634,0.175439,0.101113,0.215205,0.265045,?,0.817945,0.482412,0.046296,?,?,?,0.534819
101680,0.292683,0.266667,0.118738,0.240956,0.286812,?,0.842653,0.517588,0.046296,?,?,?,0.56546
101920,0.497561,0.42807,0.215213,0.389332,0.419974,?,0.843953,0.507538,0.046296,?,?,?,0.551532
101650,0.521951,0.45614,0.234694,0.445126,0.37516,?,0.811443,0.497487,0.046296,?,?,?,0.568245
100960,0.692683,0.621053,0.371058,0.389332,0.46735,?,0.691808,0.532663,0.046296,?,?,?,0.543175
99830,0.663415,0.575439,0.441558,0.445126,0.522407,?,0.553966,0.537688,0.046296,?,?,?,0.56546
99290,0.404878,0.357895,0.383117,0.494788,0.555698,?,0.504551,0.507538,0.046296,?,?,?,0.668524
98890,0.268293,0.252632,0.369202,0.445126,0.521127,?,0.448635,0.442211,0.046296,?,?,?,0.64624
98730,0.307317,0.277193,0.293135,0.532802,0.53009,?,0.426528,0.462312,0.046296,?,?,?,0.844011
98470,0.37561,0.336842,0.316327,0.677498,0.541613,?,0.401821,0.462312,0.055556,?,?,?,0.81337
