@relation 'Station 46001_2.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
236,86190,?,?,?,?,?,?,?,?,?,?,?,?,?
238,85470,?,?,?,?,?,?,?,?,?,?,?,?,?
239,89730,?,?,?,?,?,?,?,?,?,?,?,?,?
245,89200,?,?,?,?,?,?,?,?,?,?,?,?,?
247,92060,?,?,?,?,?,?,?,?,?,?,?,?,?
245,93960,?,?,?,?,?,?,?,?,?,?,?,?,?
244,93840,?,?,?,?,?,?,?,?,?,?,?,?,?
242,93800,?,?,?,?,?,?,?,?,?,?,?,?,?
244,94020,?,?,?,?,?,?,?,?,?,?,?,?,?
243,94380,?,?,?,?,?,?,?,?,?,?,?,?,?
242,94690,?,?,?,?,?,?,?,?,?,?,?,?,?
240,95010,?,?,?,?,?,?,?,?,?,?,?,?,?
239,93300,?,?,?,?,?,?,?,?,?,?,?,?,?
240,95930,?,?,?,?,?,?,?,?,?,?,?,?,?
242,96320,?,?,?,?,?,?,?,?,?,?,?,?,?
243,96550,?,?,?,?,?,?,?,?,?,?,?,?,?
244,94980,?,?,?,?,?,?,?,?,?,?,?,?,?
246,91980,?,?,?,?,?,?,?,?,?,?,?,?,?
243,91650,?,?,?,?,?,?,?,?,?,?,?,?,?
238,86610,?,?,?,?,?,?,?,?,?,?,?,?,?
235,87390,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87430,?,?,?,?,?,?,?,?,?,?,?,?,?
238,88140,?,?,?,?,?,?,?,?,?,?,?,?,?
239,88390,?,?,?,?,?,?,?,?,?,?,?,?,?
242,86400,?,?,?,?,?,?,?,?,?,?,?,?,?
244,86470,?,?,?,?,?,?,?,?,?,?,?,?,?
244,43260,?,?,?,?,?,?,?,?,?,?,?,?,?
242,45430,?,?,?,?,?,?,?,?,?,?,?,?,?
240,90610,?,?,?,?,?,?,?,?,?,?,?,?,?
241,94500,?,?,?,?,?,?,?,?,?,?,?,?,?
245,95580,?,?,?,?,?,?,?,?,?,?,?,?,?
241,42630,?,?,?,?,?,?,?,?,?,?,?,?,?
234,87340,?,?,?,?,?,?,?,?,?,?,?,?,?
236,84700,?,?,?,?,?,?,?,?,?,?,?,?,?
240,88030,?,?,?,?,?,?,?,?,?,?,?,?,?
241,91840,?,?,?,?,?,?,?,?,?,?,?,?,?
249,92980,?,?,?,?,?,?,?,?,?,?,?,?,?
241,96270,?,?,?,?,?,?,?,?,?,?,?,?,?
239,95750,?,?,?,?,?,?,?,?,?,?,?,?,?
236,94240,?,?,?,?,?,?,?,?,?,?,?,?,?
234,87800,?,?,?,?,?,?,?,?,?,?,?,?,?
234,87780,?,?,?,?,?,?,?,?,?,?,?,?,?
239,87360,?,?,?,?,?,?,?,?,?,?,?,?,?
248,84760,?,?,?,?,?,?,?,?,?,?,?,?,?
247,84560,?,?,?,?,?,?,?,?,?,?,?,?,?
248,88950,?,?,?,?,?,?,?,?,?,?,?,?,?
252,48530,?,?,?,?,?,?,?,?,?,?,?,?,?
247,92670,?,?,?,?,?,?,?,?,?,?,?,?,?
244,95650,?,?,?,?,?,?,?,?,?,?,?,?,?
245,88780,?,?,?,?,?,?,?,?,?,?,?,?,?
245,95630,?,?,?,?,?,?,?,?,?,?,?,?,?
246,89590,?,?,?,?,?,?,?,?,?,?,?,?,?
249,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
243,49260,?,?,?,?,?,?,?,?,?,?,?,?,?
239,98470,?,?,?,?,?,?,?,?,?,?,?,?,?
237,97070,?,?,?,?,?,?,?,?,?,?,?,?,?
236,97700,?,?,?,?,?,?,?,?,?,?,?,?,?
239,97850,?,?,?,?,?,?,?,?,?,?,?,?,?
242,97420,?,?,?,?,?,?,?,?,?,?,?,?,?
246,97730,?,?,?,?,?,?,?,?,?,?,?,?,?
245,97730,?,?,?,?,?,?,?,?,?,?,?,?,?
245,97900,?,?,?,?,?,?,?,?,?,?,?,?,?
246,96760,?,?,?,?,?,?,?,?,?,?,?,?,?
247,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
249,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
248,46610,?,?,?,?,?,?,?,?,?,?,?,?,?
246,96420,?,?,?,?,?,?,?,?,?,?,?,?,?
242,97400,?,?,?,?,?,?,?,?,?,?,?,?,?
245,96360,?,?,?,?,?,?,?,?,?,?,?,?,?
249,95530,?,?,?,?,?,?,?,?,?,?,?,?,?
241,94030,?,?,?,?,?,?,?,?,?,?,?,?,?
243,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
240,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
243,49120,?,?,?,?,?,?,?,?,?,?,?,?,?
243,97500,?,?,?,?,?,?,?,?,?,?,?,?,?
243,96850,?,?,?,?,?,?,?,?,?,?,?,?,?
240,91900,?,?,?,?,?,?,?,?,?,?,?,?,?
241,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
244,93200,?,?,?,?,?,?,?,?,?,?,?,?,?
245,49130,?,?,?,?,?,?,?,?,?,?,?,?,?
244,98150,?,?,?,?,?,?,?,?,?,?,?,?,?
246,98300,?,?,?,?,?,?,?,?,?,?,?,?,?
247,98260,?,?,?,?,?,?,?,?,?,?,?,?,?
244,97400,?,?,?,?,?,?,?,?,?,?,?,?,?
244,97890,?,?,?,?,?,?,?,?,?,?,?,?,?
245,97750,?,?,?,?,?,?,?,?,?,?,?,?,?
250,97520,?,?,?,?,?,?,?,?,?,?,?,?,?
253,97160,?,?,?,?,?,?,?,?,?,?,?,?,?
254,96690,?,?,?,?,?,?,?,?,?,?,?,?,?
254,97000,?,?,?,?,?,?,?,?,?,?,?,?,?
257,95390,?,?,?,?,?,?,?,?,?,?,?,?,?
