@relation 'Station 46001_X150.214.94.234.71.3.2_1.arff'

@attribute air numeric
@attribute pres numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WDIR numeric

@data
275.775098,99986.618255,7.5,9.1,2.6,9.09,7.1,?,996.1,2.6,3.1,?,?,?,124
276.382466,99270.113722,12.1,15,2.32,10,5.3,?,989.4,3.1,3.1,?,?,?,107
276.980135,97965.872454,13.8,18.1,3.86,7.14,6.43,?,976.3,3.7,3.1,?,?,?,153
276.550277,97316.982226,12.8,16.3,4.01,10,6.59,?,968,3.7,3.1,?,?,?,202
276.968841,97945.168116,15,18.9,6.31,12.12,8.56,?,972.4,4.1,3.1,?,?,?,251
276.722094,99072.126845,17.2,21.9,8.27,14.81,9.86,?,984.2,4,3.1,?,?,?,269
276.224525,99467.274178,10.2,12.3,6.81,13.79,9,?,990.1,3.6,3.1,?,?,?,256
276.238623,99588.655763,6.6,9.3,5.38,12.9,9,?,992.2,3,3.1,?,?,?,258
276.490744,100079.22534,8.2,10,3.46,12.12,7.52,?,996,3.6,3.1,?,?,?,291
276.139888,100932.582625,10.2,12.1,3.17,12.9,6.61,?,1003.9,3.6,3.1,?,?,?,279
276.320777,101468.849981,10.3,12.4,3.1,10.81,6.44,?,1010,3,3.1,?,?,?,254
275.902161,101921.101698,11.9,15.1,4.62,14.81,7.9,?,1014.1,3.3,3.1,?,?,?,253
275.960381,102307.883477,8.5,10.2,3.9,12.12,6.99,?,1018.5,3.1,3.1,?,?,?,250
275.537301,102600.336551,7.4,9.3,4.02,12.12,7.59,?,1021.4,3.1,3.1,?,?,?,249
275.099188,102665.557117,7.7,9.6,3.06,12.9,6.91,?,1022.5,2.7,3.1,?,?,?,272
274.102102,102774.281885,7.7,9.4,2.73,11.43,6.88,?,1022.6,1.7,3.1,?,?,?,280
273.475282,102739.727695,5.1,6.7,2.26,11.43,6.3,?,1022.4,0.9,3.1,?,?,?,327
273.003431,102861.400269,9.8,11.9,2.59,12.12,6.14,?,1023.2,-0.1,3.1,?,?,?,313
273.167448,102989.408851,9.5,11.5,2.95,7.14,5.98,?,1024.8,0.4,3.1,?,?,?,300
273.561326,103115.449853,8.7,10.8,3.36,8.33,6.33,?,1025.5,0.8,3.1,?,?,?,310
274.304708,103115.76777,10.8,12.7,3.16,7.69,6.08,?,1026.1,2.1,3.1,?,?,?,288
274.707572,102917.22657,7.5,9.3,2.62,7.69,5.94,?,1025.2,2.6,3.1,?,?,?,270
275.457195,102721.434967,5.9,7.2,1.84,6.67,5.41,?,1023.3,2.8,3.1,?,?,?,229
276.138289,102743.117657,4.4,5,1.45,6.25,5.39,?,1023.6,3,3.1,?,?,?,192
276.581756,102923.408355,6,7.6,1.64,6.67,5.56,?,1025.5,3.7,3.1,?,?,?,203
276.653293,102959.488017,10.2,12.2,2.68,9.09,6.6,?,1025.6,3.5,3.1,?,?,?,198
276.498227,102527.597409,10.7,13,2.89,10,6.25,?,1023.1,3.3,3.1,?,?,?,204
276.624787,101709.001162,14.2,17.7,4.36,9.09,6.97,?,1013.9,4,3.1,?,?,?,195
277.132343,100658.458002,13.6,16.4,5.12,10,7.4,?,1003.3,4.1,3.1,?,?,?,203
276.529989,100265.841544,8.3,10.2,4.49,10.81,7.66,?,999.5,3.5,3.1,?,?,?,240
276.215196,99966.326738,5.5,7.2,4.34,10,7.39,?,995.2,2.2,3.1,?,?,?,232
275.73522,99874.31472,6.3,7.9,3.52,11.43,7.46,?,993.5,2.6,3.1,?,?,?,303
274.851004,99730.968953,7.7,9.6,3.77,13.79,7.55,?,991.6,2.6,3.2,?,?,?,292
274.235764,100017.307841,9.6,11.3,4.15,12.9,7.5,?,994.8,2.1,3.1,?,?,?,308
272.254085,100271.870003,10.8,13.7,5.68,10.81,8.41,?,997.5,-0.4,3.1,?,?,?,306
270.577705,100552.380194,9.1,11.1,5.38,11.43,8.4,?,1000.1,-1.7,3,?,?,?,321
270.239296,100690.476792,5.5,7.4,4.65,10.81,7.87,?,1001.4,-1.6,3.1,?,?,?,311
271.022063,100751.151488,7.5,12.1,3.44,10.81,7.61,?,1003,-1.9,3,?,?,?,305
271.228906,100854.982448,7.4,10.6,3.35,9.09,6.82,?,1004.4,-1.3,3,?,?,?,291
271.465042,100852.343719,7.5,9.9,2.34,10,6.6,?,1003.7,-0.5,3,?,?,?,250
271.515191,100919.543499,9.4,11.9,3.13,8.33,6.22,?,1003.6,0,3,?,?,?,276
272.010489,100762.663673,7.9,10.2,2.16,9.09,5.61,?,1003.4,-0.6,3,?,?,?,256
273.531719,100168.000508,6.2,7.5,2.15,7.69,6.28,?,998.8,-0.5,2.9,?,?,?,140
276.563205,99444.130417,13.7,16.2,2.27,5.56,4.81,?,988.1,3.9,3,?,?,?,249
276.036973,99773.457365,16,19.4,4.74,10,7.11,?,992.6,4.1,3,?,?,?,247
276.292246,99856.29148,14.1,17.2,5.15,11.43,7.45,?,994.1,3.9,3,?,?,?,233
275.610948,100103.126268,11.7,15.4,5.95,12.9,8.25,?,996.8,3.4,3,?,?,?,234
274.791097,100301.719501,11.9,14.6,6.19,13.79,8.73,?,997.9,1,3,?,?,?,237
274.346031,100375.517251,14.3,18.5,6.72,12.12,8.67,?,999.2,1.9,3,?,?,?,252
