#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2013 01 08 04 50 237 11.1 13.9  4.98 12.12  7.67 999  991.6   3.4   4.8 999.0 99.0 99.00
2013 01 08 05 50 237 10.4 12.7  4.73 12.12  7.69 999  991.8   3.5   4.8 999.0 99.0 99.00
2013 01 08 06 50 247 10.6 12.4  4.28 12.12  7.34 999  992.2   3.7   4.8 999.0 99.0 99.00
2013 01 08 07 50 261 11.2 14.9  4.26 10.00  7.54 999  992.5   3.9   4.9 999.0 99.0 99.00
2013 01 08 08 50 271 10.8 13.4  4.34 10.81  7.56 999  993.1   3.1   4.9 999.0 99.0 99.00
2013 01 08 09 50 277 11.0 13.3  3.97 10.00  7.19 999  993.7   3.6   4.8 999.0 99.0 99.00
2013 01 08 10 50 287 10.9 14.4  4.23 10.81  7.39 999  994.4   3.8   4.8 999.0 99.0 99.00
2013 01 08 11 50 288 11.2 14.0  4.49 11.43  7.50 999  995.2   4.1   4.7 999.0 99.0 99.00
2013 01 08 12 50 292 11.6 15.3  4.11 10.81  7.08 999  995.9   4.2   4.7 999.0 99.0 99.00
2013 01 08 13 50 300 13.3 16.9  4.44 10.00  7.04 999  996.4   3.3   4.7 999.0 99.0 99.00
2013 01 08 14 50 308 13.7 17.2  4.79 10.81  7.25 999  996.9   3.6   4.7 999.0 99.0 99.00
2013 01 08 15 50 305 13.4 16.1  4.54 10.81  7.06 999  997.3   3.9   4.7 999.0 99.0 99.00
2013 01 08 16 50 312 14.0 16.8  4.85  9.09  7.08 999  998.1   3.1   4.6 999.0 99.0 99.00
2013 01 08 17 50 313 13.4 17.2  4.99  9.09  7.13 999  999.1   2.9   4.6 999.0 99.0 99.00
2013 01 08 18 50 315 12.9 15.6  4.89  8.33  7.23 999 1000.1   3.2   4.6 999.0 99.0 99.00
2013 01 08 19 50 327 13.5 16.8  4.66 10.81  6.98 999 1001.2   3.2   4.5 999.0 99.0 99.00
2013 01 08 20 50 319 13.9 16.6  4.59 10.00  7.01 999 1002.3   2.9   4.5 999.0 99.0 99.00
2013 01 08 21 50 327 13.2 16.8  5.28  9.09  7.48 999 1003.4   3.3   4.4 999.0 99.0 99.00
2013 01 08 22 50 328 14.3 17.1  4.62 10.81  7.35 999 1004.2   3.3   4.5 999.0 99.0 99.00
2013 01 08 23 50 332 13.4 16.0  5.26 11.43  7.84 999 1005.4   3.5   4.5 999.0 99.0 99.00
2013 01 09 00 50 334 13.4 16.6  5.23  9.09  7.78 999 1006.7   3.3   4.6 999.0 99.0 99.00
2013 01 09 01 50 336 13.2 15.8  5.22 10.81  7.76 999 1008.0   3.3   4.6 999.0 99.0 99.00
2013 01 09 02 50 333 13.5 16.4  4.78 10.00  7.58 999 1009.2   3.2   4.6 999.0 99.0 99.00
2013 01 09 03 50 333 13.4 16.7  5.09 10.81  7.65 999 1010.5   3.3   4.6 999.0 99.0 99.00
2013 01 09 04 50 329 14.7 17.9  5.22 10.81  7.63 999 1011.8   3.1   4.6 999.0 99.0 99.00
2013 01 09 05 50 333 14.1 17.7  4.87 10.00  7.49 999 1013.1   3.2   4.5 999.0 99.0 99.00
2013 01 09 06 50 333 12.9 16.0  4.27 10.81  6.71 999 1014.2   3.2   4.5 999.0 99.0 99.00
2013 01 09 07 50 335 12.6 15.3  4.16 10.00  6.85 999 1015.5   3.3   4.5 999.0 99.0 99.00
2013 01 09 08 50 322 10.8 14.0  4.36 11.43  7.02 999 1016.5   3.3   4.5 999.0 99.0 99.00
2013 01 09 09 50 325 10.4 12.8  4.16 10.81  7.01 999 1017.8   3.2   4.5 999.0 99.0 99.00
